tconst,parentTconst,seasonNumber,episodeNumber,primaryTitle
tt0551416,tt0264235,1,1,The Pants Tent
tt0551411,tt0264235,1,10,The Group
tt0551396,tt0264235,1,2,Ted and Mary
tt0551394,tt0264235,1,3,Porno Gil
tt0551403,tt0264235,1,4,The Bracelet
tt0551387,tt0264235,1,5,Interior Decorator
tt0551427,tt0264235,1,6,The Wire
tt0551381,tt0264235,1,7,AAMCO
tt0551383,tt0264235,1,8,Beloved Aunt
tt0551382,tt0264235,1,9,Affirmative Action
tt7754536,tt0264235,10,1,Happy New Year
tt9663072,tt0264235,10,10,The Spite Store
tt9663058,tt0264235,10,2,Side Sitting
tt9392394,tt0264235,10,3,Artificial Fruit
tt9663062,tt0264235,10,4,You're Not Going to Get Me to Say Anything Bad About Mickey
tt9663066,tt0264235,10,5,Insufficient Praise
tt9663064,tt0264235,10,6,The Surprise Party
tt9663068,tt0264235,10,7,The Ugly Section
tt9248766,tt0264235,10,8,"Elizabeth, Margaret and Larry"
tt9663070,tt0264235,10,9,Beep Panic
tt12632016,tt0264235,11,1,The Five-Foot Fence
tt15243674,tt0264235,11,10,The Mormon Advantage
tt15204200,tt0264235,11,2,Angel Muffin
tt15204210,tt0264235,11,3,The Mini Bar
tt15204226,tt0264235,11,4,The Watermelon
tt15243598,tt0264235,11,5,IRASSHAIMASE!
tt15243624,tt0264235,11,6,Man Fights Tiny Woman
tt15243632,tt0264235,11,7,Irma Kostroski
tt15243640,tt0264235,11,8,What Have I Done?
tt15243658,tt0264235,11,9,"Igor, Gregor, & Timor"
tt19623376,tt0264235,12,1,Atlanta
tt30442373,tt0264235,12,10,No Lessons Learned
tt30442305,tt0264235,12,2,The Lawn Jockey
tt30442308,tt0264235,12,3,"Vertical Drop, Horizontal Tug"
tt30442317,tt0264235,12,4,Disgruntled
tt30442326,tt0264235,12,5,Fish Stuck
tt30442337,tt0264235,12,6,The Gettysburg Address
tt30442354,tt0264235,12,7,The Dream Scheme
tt30442360,tt0264235,12,8,The Colostomy Bag
tt30442362,tt0264235,12,9,Ken/Kendra
tt0551405,tt0264235,2,1,The Car Salesman
tt0551414,tt0264235,2,10,The Massage
tt0551428,tt0264235,2,2,Thor
tt0551429,tt0264235,2,3,Trick or Treat
tt0551418,tt0264235,2,4,The Shrimp Incident
tt0551425,tt0264235,2,5,The Thong
tt0551398,tt0264235,2,6,The Acupuncturist
tt0551408,tt0264235,2,7,The Doll
tt0551395,tt0264235,2,8,Shaq
